あいにく	生憎	10.0
あたかも	まさしく	3.8
あたかも	まことに	3.2
あまり	さほど	7.0
あまり	たいして	8.2
あまり	それほど	7.2
ありのまま	全て	4.4
ありのまま	丸々	5.4
ありのまま	丸ごと	7.0
いかにも	やはり	4.0
いかにも	すっかり	3.8
いかにも	さも	7.6
いかにも	実に	4.2
いかにも	まさに	7.2
いかにも	まったく	4.8
いかにも	あたかも	5.4
いかにも	まさしく	8.2
いかにも	まことに	5.6
いささか	結構	4.0
いささか	若干	5.6
いささか	なかなか	2.2
いささか	ちょっと	7.6
いささか	まあまあ	3.4
いっそう	一層	10.0
いっそう	一段と	7.6
いっぱい	多数	8.4
いっぱい	いっせいに	3.0
いまや	もはや	7.2
いまや	よもや	3.6
おおむね	概して	8.8
かなり	まあまあ	2.2
かなり	一段と	6.8
かなり	少々	0.8
かなり	いささか	2.4
かなり	結構	8.6
かなり	ぐんと	8.0
かなり	少し	0.2
かなり	いっそう	3.6
かなり	ずっと	5.2
ぎっしり	いっぱい	9.0
ぎっしり	たくさん	9.0
きっぱり	断固	6.0
きっぱり	頑として	8.2
きっぱり	断じて	8.2
きっぱり	断然	7.2
きっぱり	毅然と	7.6
ぎりぎり	辛うじて	8.4
ぎりぎり	なんとか	7.4
ぎりぎり	辛くも	7.4
ぐっと	一気に	5.6
ぐっと	いっそう	4.6
ぐっと	一段と	7.4
ぐっと	ぐんと	8.2
ぐっと	一層	7.6
ぐっと	とても	5.0
ぐんと	ずっと	5.2
ぐんと	いっそう	4.6
ぐんと	一気に	8.6
ぐんと	一層	7.6
ぐんと	随分	5.0
ぐんと	一段と	7.0
これぞ	正に	6.8
これぞ	まさに	7.0
これぞ	いかにも	4.6
こんがり	しっかり	3.4
さながら	あたかも	7.6
さながら	まるで	7.0
さほど	大して	8.0
さも	まことに	3.8
さも	実に	5.2
さも	あたかも	8.4
さらに	一段と	7.4
さらに	一層	8.6
さらに	ぐんと	6.4
さらに	とても	4.8
さらに	ずっと	2.0
さらに	いっそう	8.0
さらに	ぐっと	5.8
しっかり	絶対	5.6
しっかり	必ず	6.4
しっかり	断然	6.2
しっかり	断固	7.6
しっかり	きっぱり	6.6
しっかり	頑として	5.6
しばしば	しょっちゅう	6.8
しばしば	時折	5.4
しばしば	まあまあ	6.2
しばしば	度々	7.8
しばしば	しきりに	4.2
しばしば	かなり	6.8
しばしば	結構	6.8
しばしば	時として	3.8
しばしば	時おり	4.2
しょせん	結局	7.2
しょせん	どだい	7.4
しょせん	どうせ	8.0
しょせん	所詮	10.0
しょっちゅう	結構	7.0
しょっちゅう	かなり	7.4
すっかり	さも	2.4
ずっと	一段と	4.2
ずっと	随分	6.8
ずっと	いっそう	4.8
ずっと	ぐっと	3.0
すでに	今や	6.6
すでに	既に	10.0
すでに	実際	3.8
すでに	すっかり	5.4
すでに	現に	5.6
すでに	よもや	2.4
すでに	いまや	7.0
すべて	丸々	7.6
すべて	丸ごと	9.2
すべて	ありのまま	6.8
すべて	全て	10.0
ずらり	びっしり	5.6
ずらり	ぎっしり	7.0
ずらりと	多数	5.8
ずらりと	いっぱい	5.0
ずらりと	いっせいに	6.2
ずらりと	一斉に	7.2
ずらりと	整然と	4.2
ぜひとも	なんとか	6.4
ぜひとも	何とか	4.0
ぜひとも	何とぞ	8.0
ぜんぜん	そんなに	4.2
ぜんぜん	たいして	5.8
ぜんぜん	さほど	7.4
ぜんぶ	全部	10.0
ぜんぶ	丸々	8.4
そのまま	全て	4.6
そのまま	丸ごと	5.4
そのまま	全部	8.2
そのまま	すべて	7.4
そのまま	丸々	9.0
そのまま	何もかも	2.8
そのまま	ありのまま	6.6
それほど	さほど	8.8
それほど	大して	8.0
それほど	そんなに	8.8
それほど	ぜんぜん	5.8
それほど	たいして	7.0
そんなに	さほど	7.4
そんなに	たいして	6.4
そんなに	大して	7.0
そんなに	あまり	8.4
たいして	さほど	8.4
たいして	大して	9.8
だいたい	全部	4.8
だいたい	全て	5.8
だいたい	概ね	7.8
だいたい	総じて	8.4
だいたい	専ら	6.8
だいたい	一般に	6.8
だいたい	常に	3.8
だいたい	主として	6.2
だいぶ	とても	7.2
だいぶ	かなり	8.4
だいぶ	一段と	7.8
だいぶ	ぐんと	7.0
だいぶ	いっそう	4.4
だいぶ	ずっと	4.8
たくさん	いっぱい	8.6
たくさん	いっせいに	3.2
たくさん	多々	9.0
たくさん	ずらりと	7.0
たくさん	思い切り	7.6
たくさん	思いっきり	4.0
たくさん	ずらり	7.0
たくさん	整然と	2.4
たびたび	時折	5.2
たびたび	しきりに	7.6
たびたび	しばしば	7.2
たびたび	度々	10.0
たまに	度々	3.4
たまに	まあまあ	5.8
たまに	時折	8.0
たまに	時々	8.6
たまに	しばしば	3.2
たまに	結構	1.0
たまに	時おり	8.2
だんだん	順に	5.4
だんだん	順次	7.2
ちょっと	少し	7.8
ちょっと	結構	1.2
ちょっと	少々	7.8
ちょっと	なかなか	4.4
どうしても	いかにも	5.0
どうせ	結局	6.8
どうせ	どだい	7.6
どうせ	所詮	7.4
とうとう	もはや	3.6
どうにか	辛くも	6.0
どうにか	ようやく	6.0
どうにか	何とぞ	6.8
どうにか	なんとか	7.4
どうにか	辛うじて	8.4
どうにか	やっと	8.0
どうやら	なんせ	4.8
どうやら	何しろ	4.0
どだい	所詮	7.6
とても	一段と	5.8
とても	ぐんと	4.2
とても	かなり	7.8
とても	いっそう	5.6
とても	ずっと	5.2
とにかく	いかんせん	4.4
とにかく	なにせ	7.8
とにかく	何しろ	8.0
とにかく	どうやら	1.6
とにかく	ともかく	9.0
なにせ	どうやら	4.0
なにせ	なんせ	9.6
なんせ	いかんせん	5.8
なんせ	とにかく	6.2
なんせ	なにしろ	8.6
なんだか	どうしても	4.2
なんとか	辛くも	6.6
なんとか	辛うじて	8.4
なんとか	やっと	8.0
なんにも	何とも	6.8
にこにこ	にんまり	7.8
ニコニコ	にんまり	7.4
ニコニコ	ニンマリ	7.8
にっこり	ニンマリ	5.4
にっこり	にこにこ	8.2
にっこり	にんまり	7.8
にっこり	ニコニコ	8.6
ひたすら	偏に	7.0
ひたすら	ただただ	7.6
ひたすら	専ら	5.8
びっしり	いっぱい	8.2
びっしり	ぎっしり	7.6
びっしり	たくさん	8.8
ほとんど	総じて	7.2
ほとんど	主として	6.8
ほとんど	だいたい	8.8
ほとんど	常に	6.6
ほとんど	ほぼ	7.6
ほとんど	ひたすら	1.2
ほぼ	主として	6.6
ほぼ	だいたい	7.6
ほぼ	常に	5.6
ほぼ	専ら	7.4
まあまあ	少し	5.6
まさしく	さも	4.6
まさしく	まさに	9.0
まさしく	まことに	7.4
まさに	事実	4.6
まさに	正に	10.0
まさに	現に	7.4
まったく	さも	3.2
まったく	なんとも	3.8
まるで	いかにも	6.8
まるで	あたかも	8.0
まるで	さも	7.2
まるで	まさしく	6.8
もう	もはや	7.2
もう	すでに	7.8
もう	よもや	2.6
もう	とうとう	6.4
もう	今や	5.0
もう	すっかり	6.0
もう	いまや	8.0
もう	既に	8.2
もちろん	勿論	10.0
もちろん	当然	8.2
もちろん	無論	8.8
もはや	すでに	8.0
もはや	すっかり	5.2
やっと	辛うじて	7.8
やっと	何とか	7.6
やはり	あたかも	3.4
やはり	まことに	4.6
やはり	さも	3.6
やはり	まさしく	5.8
やや	多少	6.6
やや	いささか	5.4
やや	少し	7.2
よく	常に	5.2
よく	時折	4.2
よく	たびたび	7.0
よく	たまに	1.0
よく	しょっちゅう	8.6
よく	時々	1.8
よく	専ら	7.0
よく	結構	8.8
よく	しきりに	8.4
よく	しばしば	8.2
よく	度々	8.2
よく	かなり	6.6
よもや	もはや	4.8
よろしく	ぜひとも	5.0
よろしく	何とぞ	5.0
よろしく	何とか	4.4
一段と	一気に	6.0
一段と	一層	7.6
一気に	ずっと	4.0
一般に	概して	8.2
一般に	概ね	8.6
丸ごと	ぜんぶ	8.2
丸ごと	丸々	9.4
主として	常に	3.4
主として	専ら	8.2
今	本当に	0.2
今	すでに	4.0
今	実際	3.6
今	現在	9.0
今	現に	6.6
今や	現在	7.4
今や	もはや	5.8
今や	よもや	5.4
今や	いまや	10.0
何かと	色々	5.6
何かと	とかく	6.2
何かと	たびたび	5.6
何かと	度々	4.8
何かと	何分	7.8
何かと	しばしば	2.8
何しろ	なんせ	8.4
何しろ	ともかく	5.6
何しろ	いかんせん	6.8
何しろ	なにせ	9.0
何しろ	何せ	9.0
何しろ	なにしろ	10.0
何とか	ようやく	7.4
何とか	なんとか	10.0
何とか	辛くも	6.6
何とか	ぎりぎり	7.2
何とか	辛うじて	8.2
何とか	どうにか	6.6
何とぞ	なんとか	8.8
何とぞ	何とか	7.6
何とも	どうしても	4.8
何とも	なんとも	10.0
何もかも	丸ごと	7.4
偏に	専ら	7.6
充分	思い切り	5.6
充分	いかんなく	7.2
全て	丸々	8.0
全て	丸ごと	8.0
全て	総じて	7.0
全て	おしなべて	4.0
全て	概ね	7.8
全て	概して	6.0
全て	一般に	5.6
全て	何もかも	7.0
全部	丸ごと	9.0
全部	何もかも	8.8
全部	すべて	9.6
全部	総じて	8.6
全部	丸々	9.4
全部	一般に	5.4
全部	全て	9.6
全部	ありのまま	6.0
全部	概ね	6.8
勿論	無論	9.2
多々	いっせいに	4.6
多々	いっぱい	7.0
多々	ずらりと	5.6
多少	いささか	6.8
実に	まことに	7.4
実に	すっかり	3.0
専ら	ほとんど	3.4
専ら	ただただ	6.0
少々	結構	1.8
少々	いささか	6.4
少々	まあまあ	5.8
少々	若干	8.6
少々	少し	9.2
少々	なかなか	2.0
少し	いささか	7.0
少し	多少	6.2
少し	なかなか	3.2
少し	若干	7.6
少し	結構	1.8
常に	度々	5.6
常に	しばしば	3.2
常に	たびたび	4.8
常に	専ら	6.6
常に	しきりに	6.2
度々	結構	6.4
度々	しきりに	6.2
度々	時として	4.2
度々	時折	6.2
度々	かなり	5.2
度々	しょっちゅう	8.4
当然	無論	7.8
当然	勿論	7.6
必ず	頑として	4.0
必ず	きっぱり	5.8
必ず	断固	6.6
必ず	絶対	8.2
思いっきり	精一杯	7.2
思い通り	いかんなく	4.0
思い通り	充分	2.4
断じて	毅然と	5.4
断じて	断固	7.6
断固	頑として	7.6
断固	毅然と	8.2
断固	断然	8.4
既に	よもや	2.4
既に	もはや	7.2
既に	いまや	7.0
既に	今や	6.4
時々	度々	3.8
時々	時おり	7.8
時々	常に	1.4
時々	しばしば	5.0
時々	時として	8.8
時々	しきりに	5.2
時々	まあまあ	5.0
時々	時折	8.6
時々	結構	1.8
時々	たびたび	4.0
時おり	まあまあ	4.6
本当に	現に	6.2
本当に	現在	0.4
本当に	断固	5.4
本当に	しっかり	3.4
本当に	必ず	8.0
本当に	絶対	8.2
本当に	すでに	2.8
本当に	実際	7.0
概して	おしなべて	8.2
概して	だいたい	8.0
概して	ほとんど	6.8
概して	全部	5.8
概ね	総じて	7.4
概ね	概して	8.4
概ね	おしなべて	8.6
次々	順次	7.8
次々	順に	7.4
次々	随時	4.6
正に	いかにも	5.8
特に	専ら	5.2
特に	ひたすら	4.6
現に	実際	7.6
現に	事実上	7.2
現に	事実	7.6
現在	実際	4.6
現在	現に	3.6
現在	すでに	6.6
結局	どだい	6.2
結局	所詮	7.4
結構	なかなか	6.4
結構	時おり	3.6
結構	まあまあ	5.4
絶対	頑として	5.2
絶対	きっぱり	5.0
絶対	断然	7.6
絶対	断固	7.2
総じて	おおむね	7.2
総じて	おしなべて	7.6
総じて	概して	7.6
総じて	一般に	7.6
辛うじて	辛くも	8.8
辛うじて	ようやく	6.6
順に	順次	8.2
順に	逐次	7.8
順に	随時	3.8
順次	随時	5.0
順次	逐次	8.6
頑として	断じて	6.6
頑として	断然	6.8
